rank,timeframe,segment,strategy_name,feature,horizon_bars,entry_quantile,entry_threshold,sample_size,verdict,return_pct,final_equity,round_trips,win_rate,profit_factor,expectancy,max_drawdown_pct,buy_hold_order_sized_return_pct,beats_no_trade,beats_order_sized_buy_hold,notes
14,5m,validation,order_book_threshold_imbalance_top_10_q0p7_h6_v27,imbalance_top_10,6,0.7,0.17494180938613058,33,not_enough_trades,-0.0009705972388531153856447600,999.9902940276114688461435524,1,0.0,0E+26,-0.00970597238853115385644761,0.001540494744065834098406213917,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
15,5m,validation,order_book_threshold_imbalance_top_10_q0p8_h6_v27,imbalance_top_10,6,0.8,0.20469712596021844,33,not_enough_trades,-0.0009705972388531153856447600,999.9902940276114688461435524,1,0.0,0E+26,-0.00970597238853115385644761,0.001540494744065834098406213917,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
16,5m,validation,order_book_threshold_imbalance_top_20_q0p8_h3_v27,imbalance_top_20,3,0.8,0.2183178155562114,33,not_enough_trades,-0.0024078625532694147881478700,999.9759213744673058521185213,1,0.0,0E+27,-0.024078625532694147881478747,0.0024078625532694147881478700,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
17,5m,validation,order_book_threshold_imbalance_top_20_q0p6_h6_v27,imbalance_top_20,6,0.6,0.13553356055798094,33,not_enough_trades,-0.0026776990089168002724823400,999.9732230099108319972751766,1,0.0,0E+27,-0.026776990089168002724823365,0.0026776990089168002724823400,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
18,5m,validation,order_book_threshold_imbalance_top_20_q0p8_h1_v27,imbalance_top_20,1,0.8,0.2183178155562114,33,not_enough_trades,-0.0030258223524257813744976100,999.9697417764757421862550239,1,0.0,0E+27,-0.030258223524257813744976084,0.0030258223524257813744976100,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
19,5m,validation,order_book_threshold_imbalance_top_20_q0p7_h3_v27,imbalance_top_20,3,0.7,0.17262900853991006,33,not_enough_trades,-0.003238093347432723097943400,999.9676190665256727690205660,2,0.0,0E+27,-0.0161904667371636154897169895,0.003238093347432723097943400,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
20,5m,validation,order_book_threshold_order_book_imbalance_q0p7_h3_v27,order_book_imbalance,3,0.7,0.17494180938613058,33,not_enough_trades,-0.003238093347432723097943400,999.9676190665256727690205660,2,0.0,0E+27,-0.0161904667371636154897169895,0.003238093347432723097943400,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
21,5m,validation,order_book_threshold_order_book_imbalance_q0p8_h3_v27,order_book_imbalance,3,0.8,0.20469712596021844,33,not_enough_trades,-0.003238093347432723097943400,999.9676190665256727690205660,2,0.0,0E+27,-0.0161904667371636154897169895,0.003238093347432723097943400,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
22,5m,validation,order_book_threshold_imbalance_top_10_q0p7_h3_v27,imbalance_top_10,3,0.7,0.17494180938613058,33,not_enough_trades,-0.003238093347432723097943400,999.9676190665256727690205660,2,0.0,0E+27,-0.0161904667371636154897169895,0.003238093347432723097943400,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
23,5m,validation,order_book_threshold_imbalance_top_10_q0p8_h3_v27,imbalance_top_10,3,0.8,0.20469712596021844,33,not_enough_trades,-0.003238093347432723097943400,999.9676190665256727690205660,2,0.0,0E+27,-0.0161904667371636154897169895,0.003238093347432723097943400,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
24,5m,validation,order_book_threshold_imbalance_top_20_q0p8_h6_v27,imbalance_top_20,6,0.8,0.2183178155562114,33,not_enough_trades,-0.0035873933199091295098429300,999.9641260668009087049015707,1,0.0,0E+27,-0.035873933199091295098429289,0.0035873933199091295098429300,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
25,5m,full,order_book_threshold_order_book_imbalance_q0p6_h6_v27,order_book_imbalance,6,0.6,0.1375246309450363,108,failed_positive_return_check,-0.0036633214401520425102295800,999.9633667855984795748977042,11,0.2727272727272727,0.8365857646091425337074112026,-0.00333029221832003864566329064,0.01470778426553372088164243205,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
26,5m,full,order_book_threshold_imbalance_top_10_q0p6_h6_v27,imbalance_top_10,6,0.6,0.1375246309450363,108,failed_positive_return_check,-0.0036633214401520425102295800,999.9633667855984795748977042,11,0.2727272727272727,0.8365857646091425337074112026,-0.00333029221832003864566329064,0.01470778426553372088164243205,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
27,5m,validation,order_book_threshold_order_book_imbalance_q0p6_h6_v27,order_book_imbalance,6,0.6,0.1375246309450363,33,not_enough_trades,-0.0039388219593618479705083800,999.9606117804063815202949162,2,0.0,0E+27,-0.019694109796809239852541912,0.004508702548571749140538723373,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
28,5m,validation,order_book_threshold_imbalance_top_10_q0p6_h6_v27,imbalance_top_10,6,0.6,0.1375246309450363,33,not_enough_trades,-0.0039388219593618479705083800,999.9606117804063815202949162,2,0.0,0E+27,-0.019694109796809239852541912,0.004508702548571749140538723373,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
29,5m,validation,order_book_threshold_imbalance_top_5_q0p6_h6_v27,imbalance_top_5,6,0.6,0.12160606557266074,33,not_enough_trades,-0.0039388219593618479705083800,999.9606117804063815202949162,2,0.0,0E+27,-0.019694109796809239852541912,0.004508702548571749140538723373,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
30,5m,validation,order_book_threshold_imbalance_top_5_q0p7_h6_v27,imbalance_top_5,6,0.7,0.18078752145065743,33,not_enough_trades,-0.0044448977292647470617264200,999.9555510227073525293827358,2,0.0,0E+27,-0.022224488646323735308632128,0.005014775434333467674412941295,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
31,5m,validation,order_book_threshold_imbalance_top_5_q0p8_h6_v27,imbalance_top_5,6,0.8,0.21076048639031877,33,not_enough_trades,-0.0044448977292647470617264200,999.9555510227073525293827358,2,0.0,0E+27,-0.022224488646323735308632128,0.005014775434333467674412941295,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
32,5m,validation,order_book_threshold_order_book_imbalance_q0p7_h1_v27,order_book_imbalance,1,0.7,0.17494180938613058,33,failed_positive_return_check,-0.0052517142216770536713232700,999.9474828577832294632867673,3,0.0,0E+27,-0.017505714072256845571077589,0.0052517142216770536713232700,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
33,5m,validation,order_book_threshold_imbalance_top_10_q0p7_h1_v27,imbalance_top_10,1,0.7,0.17494180938613058,33,failed_positive_return_check,-0.0052517142216770536713232700,999.9474828577832294632867673,3,0.0,0E+27,-0.017505714072256845571077589,0.0052517142216770536713232700,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
34,5m,validation,order_book_threshold_imbalance_top_20_q0p7_h1_v27,imbalance_top_20,1,0.7,0.17262900853991006,33,not_enough_trades,-0.0057115602142885929702408800,999.9428843978571140702975912,2,0.0,0E+27,-0.028557801071442964851204394,0.0057115602142885929702408800,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
35,5m,validation,order_book_threshold_order_book_imbalance_q0p8_h1_v27,order_book_imbalance,1,0.8,0.20469712596021844,33,not_enough_trades,-0.0057115602142885929702408800,999.9428843978571140702975912,2,0.0,0E+27,-0.028557801071442964851204394,0.0057115602142885929702408800,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
36,5m,validation,order_book_threshold_imbalance_top_10_q0p8_h1_v27,imbalance_top_10,1,0.8,0.20469712596021844,33,not_enough_trades,-0.0057115602142885929702408800,999.9428843978571140702975912,2,0.0,0E+27,-0.028557801071442964851204394,0.0057115602142885929702408800,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
37,5m,validation,order_book_threshold_imbalance_top_20_q0p6_h3_v27,imbalance_top_20,3,0.6,0.13553356055798094,33,not_enough_trades,-0.0061806592161109210195250900,999.9381934078388907898047491,2,0.0,0E+27,-0.0309032960805546050976254905,0.0061806592161109210195250900,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
38,5m,validation,order_book_threshold_imbalance_top_5_q0p7_h3_v27,imbalance_top_5,3,0.7,0.18078752145065743,33,failed_positive_return_check,-0.0067123938378443547740250600,999.9328760616215564522597494,3,0.0,0E+27,-0.02237464612614784924675020833,0.0067123938378443547740250600,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
39,5m,validation,order_book_threshold_imbalance_top_5_q0p8_h3_v27,imbalance_top_5,3,0.8,0.21076048639031877,33,failed_positive_return_check,-0.0067123938378443547740250600,999.9328760616215564522597494,3,0.0,0E+27,-0.02237464612614784924675020833,0.0067123938378443547740250600,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
40,5m,validation,order_book_threshold_imbalance_top_5_q0p7_h1_v27,imbalance_top_5,1,0.7,0.18078752145065743,33,failed_positive_return_check,-0.0076229221235912328532726500,999.9237707787640876714672735,4,0.0,0E+27,-0.019057305308978082133181630,0.0076229221235912328532726500,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
41,5m,validation,order_book_threshold_imbalance_top_5_q0p8_h1_v27,imbalance_top_5,1,0.8,0.21076048639031877,33,failed_positive_return_check,-0.0080827681162027721521902600,999.9191723188379722784780974,3,0.0,0E+27,-0.02694256038734257384063418033,0.0080827681162027721521902600,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
